index,title,genres,story_line,cast,director
1983,De Ijaazat Rahun Tujhme,Thriller,,"Rajpal Naurang Yadav,Rajeev Vashishth,Sourav Chakraborty,Gurleen Chopra",Awani Agrawal
1984,Karim Mohammed,Drama,,"Alka Amin,Juhi Singh Bajwa,Veer Gujjar,Rajesh Jais",Pawan Kumar Sharma
1985,Downup the Exit 796,Thriller,"Downup The Exit 796 is story about an Adolescent Geek who went into vicious circle of pang and toil, to protect his Mother and Mother land.","Rajesh Desai,Ruchika Dhankhar,Aniket Dhawalshankh,Yatin Karyekar",Jaimin Bal
1986,Half Songs,"Music, Romance","An old music store that sold vinyl records is closing down in Mumbai. Shweta, an intern at an online music magazine works on her first feature story about the closing of the store. In an ...       »","Raj Banerjee,Emon Chatterjee,Purshottam Mulani,Vartika Tiwari",Sriram Raja
1987,Racket,Drama,"The story is about the desires and efforts that Sandhya makes to fulfill her dreams. She somehow gets into trouble and then the story takes dramatic turns. The story is about love and fraud, dreams and reality.","Suman Jain,Vaishnavi Karmarkar,Yusuf Khan,Sandeep Kumaar",
1988,Bhootwali Love Story,Comedy,A ghost Madhubala falls in love with a man Kishor Kumar. Things take an interesting turn when she expresses her feelings for him through a thief.,"Tushar Acharya,Kanchan Awasthi,Laxman Dawbhat,Suhas Ruke",Shantanu Anant Tambe
1989,Rashtraputra,"Action, Biography, Drama","Legendary film company, The Bombay Talkies Studios along with Kamini Dube, Bombay Talkies Foundation, Vishwa Sahitya Parishad, Aazaad Federation, World Literature Organization and filmmaker...                See full synopsis »","Rakesh Bedi,Abhay Bhargava,Manish Chaudhari,Alpesh Dhakan",Megastar Maharishi
1990,Beyond Boundaries,Action,"The film gives a message of peace, value of human life in times of turmoil and strife. The film has been appreciated by the critics all over and has won Seven Awards at various ...       »","Rajat Bedi,Zakir Hussain,Mukesh Tiwari",Kamal Nathani
1991,Aasma,"Action, Crime, Drama","At the pinnacle of the splendor of the Himalayas sits the Kashmir valley, one of the most stunningly picturesque places on earth. But today, its grandeur has also become ubiquitous with the...       »","Subrat Dutta,Ameet Gaurr,Sunny Hinduja,Elena Kazan",Sudipto Sen
1992,Based on a True Story,Drama,,"Vinod Kumar,Atique Mujawar,Amit Pandiya,Bedashree Patitundu",Jacob Paul
1993,PK Lele a Salesman,"Comedy, Romance","The plot revolves around an eccentric duo, consisting of a comically hilarious but kind salesman PK (Manav Sohal) and Lele (Brijendra Kala) who sell undergarments of Anmol Macho brand for ...       »","Manav Sohal,Brijendra Kala,Vaishnavi Dhanraj,Shravani Goswami",Manav Sohal
1994,2006 Varanasi: The Untold,Drama,,"Mukul Dev,Rahul Dev,Ravi Kishan,Brij Parashar",Aryeman Ramsay
1995,Redrum,Thriller,"Daksh successfully goes on to become a singing sensation but his insecurities get the best of him. While his love for Aarika grows, so does his inclination for drugs that leads to his downfall.","Vibhav Roy,Saeeda Imtiaz,Tom Alter,Darryl Knight",
